time,x_odom,y_odom,theta_odom,modo,distancia_obstaculo
0.064,-0.45,-0.45000000000000007,0.0,SEGUIR_RUTA,0.10826016666145237
0.096,-0.44993563410455617,-0.4499992730861703,0.01129298245614035,SEGUIR_RUTA,0.1075531483463107
0.128,-0.44993563410455617,-0.4499992730861703,0.02032736842105263,SEGUIR_RUTA,0.10695270368919894
0.16,-0.44993563410455617,-0.4499992730861703,0.03387894736842106,SEGUIR_RUTA,0.10611202245027655
0.192,-0.44993563410455617,-0.4499992730861703,0.04291333333333334,SEGUIR_RUTA,0.10715869108669222
0.224,-0.44993563410455617,-0.4499992730861703,0.05646491228070176,SEGUIR_RUTA,0.1077534013401543
0.256,-0.44993563410455617,-0.4499992730861703,0.06549929824561403,SEGUIR_RUTA,0.10672478284934893
0.28800000000000003,-0.44993563410455617,-0.4499992730861703,0.07905087719298244,SEGUIR_RUTA,0.10666757912012535
0.32,-0.44993563410455617,-0.4499992730861703,0.08808526315789472,SEGUIR_RUTA,0.10833094733453892
0.352,-0.44993563410455617,-0.4499992730861703,0.10163684210526315,SEGUIR_RUTA,0.10822548922197954
0.384,-0.44993563410455617,-0.4499992730861703,0.11067122807017542,SEGUIR_RUTA,0.10680667029987916
0.41600000000000004,-0.44993563410455617,-0.4499992730861703,0.12422280701754382,SEGUIR_RUTA,0.1071453483218406
0.448,-0.44993563410455617,-0.4499992730861703,0.1377743859649123,SEGUIR_RUTA,0.10702259726794632
0.48,-0.44993563410455617,-0.4499992730861703,0.14680877192982456,SEGUIR_RUTA,0.10754005444517356
0.512,-0.44993563410455617,-0.4499992730861703,0.16036035087719297,SEGUIR_RUTA,0.10671052016930246
0.544,-0.44993563410455617,-0.4499992730861703,0.16939473684210526,SEGUIR_RUTA,0.10738280786955946
0.5760000000000001,-0.44993563410455617,-0.4499992730861703,0.18294631578947368,SEGUIR_RUTA,0.10790451193450094
0.608,-0.44993563410455617,-0.4499992730861703,0.19198070175438597,SEGUIR_RUTA,0.10805990246929614
0.64,-0.44993563410455617,-0.4499992730861703,0.20553228070175442,SEGUIR_RUTA,0.10745467362520775
0.672,-0.44993563410455617,-0.4499992730861703,0.21456666666666666,SEGUIR_RUTA,0.10769232056008028
0.704,-0.44993563410455617,-0.4499992730861703,0.2281182456140351,SEGUIR_RUTA,0.10763144841160639
0.736,-0.44993563410455617,-0.4499992730861703,0.2416698245614035,SEGUIR_RUTA,0.10693951954612756
0.768,-0.44993563410455617,-0.4499992730861703,0.2507042105263158,SEGUIR_RUTA,0.10676474791907326
0.8,-0.44993563410455617,-0.4499992730861703,0.2642557894736842,SEGUIR_RUTA,0.10750765337611315
0.8320000000000001,-0.44993563410455617,-0.4499992730861703,0.27329017543859646,SEGUIR_RUTA,0.10695315678799948
