time,raw_ps0,raw_ps7,l_encoder,r_encoder,z_procesado,simple_filt,kalman_est,turning,decision
0.032,63.661986392768526,69.98390175304829,459.77764,477.8452,0.10562062049337459,0.1056206204933746,0.08530896270618717,0,forward
0.064,67.79212422639874,67.0684301241127,459.87184,477.9394,0.10668922807199652,0.105834342009099,0.09507820317714893,0,forward
0.096,69.65102445933502,65.04791981242943,459.96604,478.0336,0.10691540574349837,0.10605055475597888,0.09882552062459425,0,forward
0.128,62.822918280007435,70.8050159716955,460.06024,478.13408,0.10609726670499496,0.10605989714578211,0.1003498951774148,0,forward
0.16,72.76020843703861,64.9405119371097,460.16072,478.22828,0.1033406387051152,0.10551604545764874,0.10018444144169779,0,forward
0.192,66.83767316804558,59.88680879021298,460.25492,478.32248,0.10589140521827196,0.1055911174097734,0.1010171297997223,0,forward
0.224,67.05578931199047,64.9923054327153,460.34912,478.41668,0.10474052429463535,0.1054209987867458,0.10112012807611337,0,forward
0.256,71.16212433205023,72.53495022642717,460.44331999999997,478.51716,0.10489399299143672,0.10531559762768399,0.10119506410328892,0,forward
0.28800000000000003,70.14256897284444,68.78820378143172,460.5438,478.61136,0.10553986706167111,0.10536045151448142,0.10147262747837736,0,forward
0.32,63.284387955928416,63.746205481911275,460.638,478.70556,0.10800126855976823,0.10588861492353879,0.10257316325933775,0,forward
0.352,68.09786643640629,66.56417159222529,460.7322,478.79976,0.10708113891220153,0.10612711972127134,0.10294918339249598,0,forward
0.384,68.15500764082111,73.45421843247843,460.83268,478.90024,0.10426562504073604,0.10575482078516428,0.10209898070088995,0,forward
0.41600000000000004,66.61884897556057,68.48916154555997,460.92688,478.99444,0.10761425254147,0.10612670713642543,0.10283565323175409,0,forward
0.448,69.8089163927495,69.76329198996213,461.02108,479.08864,0.10614750893480213,0.10613086749610078,0.10278289729879515,0,forward
0.48,67.51036077066911,65.36160816712817,461.11528,479.18912,0.10573643157497366,0.10605198031187535,0.10256045156767386,0,forward
0.512,72.05570758177198,63.58387453688988,461.21576,479.28332,0.10412823093376446,0.10566723043625317,0.10184154441173078,0,forward
