time,raw_ps0,raw_ps7,l_encoder,r_encoder,z_procesado,simple_filt,kalman_est,turning,decision
0.032,63.661986392768526,69.98390175304829,0.20096,0.20096,0.10562062049337459,0.1056206204933746,0.08530896270618717,0,forward
0.064,67.79212422639874,67.0684301241127,0.29516,0.29516,0.10668922807199652,0.105834342009099,0.09507820317714895,0,forward
0.096,69.65102445933502,65.04791981242943,0.38936,0.38936,0.10691540574349837,0.10605055475597888,0.09882552062459427,0,forward
0.128,62.822918280007435,70.8050159716955,0.48984,0.48984,0.10609726670499496,0.10605989714578211,0.10030997398619401,0,forward
0.16,72.76020843703861,64.9405119371097,0.58404,0.58404,0.1033406387051152,0.10551604545764874,0.10019991716549788,0,forward
0.192,66.83767316804558,59.88680879021298,0.67824,0.67824,0.10589140521827196,0.1055911174097734,0.10102700572408084,0,forward
0.224,67.05578931199047,64.9923054327153,0.77872,0.77872,0.10474052429463535,0.1054209987867458,0.10104402312095646,0,forward
0.256,71.16212433205023,72.53495022642717,0.87292,0.87292,0.10489399299143672,0.10531559762768399,0.10118754039990369,0,forward
0.28800000000000003,70.14256897284444,68.78820378143172,0.96712,0.96712,0.10553986706167111,0.10536045151448142,0.10150909396953209,0,forward
0.32,63.284387955928416,63.746205481911275,1.06132,1.06132,0.10800126855976823,0.10588861492353879,0.10259656160593261,0,forward
0.352,68.09786643640629,66.56417159222529,1.1618,1.1618,0.10708113891220153,0.10612711972127134,0.1028815856424915,0,forward
0.384,68.15500764082111,73.45421843247843,1.256,1.256,0.10426562504073604,0.10575482078516428,0.10213821721125262,0,forward
0.41600000000000004,66.61884897556057,68.48916154555997,1.3502,1.3502,0.10761425254147,0.10612670713642543,0.1028608326836199,0,forward
0.448,69.8089163927495,69.76329198996213,1.4444,1.4444,0.10614750893480213,0.10613086749610078,0.1027990559469956,0,forward
0.48,67.51036077066911,65.36160816712817,1.54488,1.54488,0.10573643157497366,0.10605198031187535,0.10252951235629003,0,forward
0.512,72.05570758177198,63.58387453688988,1.63908,1.63908,0.10412823093376446,0.10566723043625317,0.10186299835050844,0,forward
0.544,61.20973534693474,67.34719874909506,1.73328,1.73328,0.10607426418848702,0.10574863718669995,0.10213244867496138,0,forward
0.5760000000000001,62.09980496563806,67.00608341256661,1.83376,1.83376,0.10817826491535247,0.10623456273243045,0.10297652206813777,0,forward
0.608,67.68560293462238,64.65618201947163,1.92796,1.92796,0.10749387567837264,0.1064864253216189,0.10335562961139252,0,forward
0.64,63.67526268489749,70.41759489663002,2.02216,2.02216,0.10637053471700249,0.10646324720069562,0.10319647345058137,0,forward
0.672,67.98643925551187,65.15718145869552,2.11636,2.11636,0.10492319112649996,0.1061552359858565,0.10257581434254216,0,forward
0.704,67.5216815757565,68.8061899604429,2.21684,2.21684,0.10752240887461252,0.1064286705636077,0.10302608256597198,0,forward
0.736,63.59491020911424,71.37169846118785,2.31104,2.31104,0.10570007579126457,0.10628295160913909,0.10274479207680551,0,forward
0.768,70.30293326684695,59.7798550276289,2.40524,2.40524,0.10645168162881886,0.10631669761307505,0.10283354451289065,0,forward
0.8,61.13992342024029,67.00692401750649,2.50572,2.50572,0.10551265938113101,0.10615588996668626,0.10247147096674548,0,forward
