time,Ts,fs,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,front_raw,front_max,front_filtered,front_distance_measurement,left_encoder,right_encoder,delta_left_theta,delta_right_theta,delta_left_s,delta_right_s,delta_s,x_pred,P_pred,K,kalman_estimate,P,obstacle_enter,obstacle_still_near,turning,turn_direction,left_speed,right_speed,decision
0.032,0.032,31.25,63.661986392768526,69.72902373751984,63.764686564764126,68.31835944115898,61.33395877391072,66.76852741590989,71.48557095442982,69.98390175304829,68.7151207094416,71.48557095442982,68.7151207094416,0.10758825278608132,2413.12768,2443.96876,0.0,0.0,0.0,0.0,0.0,0.10758825278608132,0.01,0.0,0.10758825278608132,0.01,False,False,False,turn_left,3.0,3.0,forward
0.064,0.032,31.25,67.79212422639874,68.71471178911493,71.72911516248047,70.27284207699638,65.12323371561816,70.23625733432512,69.9682797330093,67.0684301241127,68.38588646815892,69.9682797330093,68.64927386118507,0.10763591092238683,2413.22188,2444.06924,0.09420000000000073,0.10047999999960666,0.001931100000000015,0.002059839999991937,0.001995469999995976,0.10559278278608535,0.0105,0.8076923076923077,0.10724300166540578,0.0020192307692307693,False,False,False,turn_left,3.0,3.0,forward
0.096,0.032,31.25,69.65102445933502,66.59716278911816,62.72145560694713,66.81719804950698,67.91515692747836,69.74630043932844,65.80231044871363,65.04791981242943,66.77460437739906,69.65102445933502,68.27433996442787,0.10790808445910817,2413.31608,2444.16344,0.09420000000000073,0.09420000000000073,0.001931100000000015,0.001931100000000015,0.001931100000000015,0.10531190166540576,0.0025192307692307693,0.5019157088122606,0.1066149665925131,0.0012547892720306513,False,False,False,turn_left,3.0,3.0,forward
0.128,0.032,31.25,62.822918280007435,67.04181261225409,64.97159379863234,67.4289619275618,64.47864997406009,63.38677652571192,68.08024756492544,70.8050159716955,67.18749860722062,70.8050159716955,68.05697169298642,0.10806650856791726,2413.41656,2444.25764,0.10048000000006141,0.09420000000000073,0.002059840000001259,0.001931100000000015,0.0019954700000006367,0.10461949659251246,0.0017547892720306513,0.4124268347591175,0.10604113683090544,0.0010310670868977937,False,False,False,turn_left,3.0,3.0,forward
0.16,0.032,31.25,72.76020843703861,68.85290062479334,63.73115423201242,66.48059923421282,66.5327113795977,64.20646442918029,74.82776379635463,64.9405119371097,70.34534619882407,74.82776379635463,68.51464659415396,0.10773348196237648,2413.51076,2444.35812,0.09420000000000073,0.10048000000006141,0.001931100000000015,0.002059840000001259,0.0019954700000006367,0.1040456668309048,0.0015310670868977938,0.379816821177259,0.10544636105122977,0.0009495420529431475,False,False,False,turn_left,3.0,3.0,forward
0.192,0.032,31.25,66.83767316804558,60.77796243616181,57.39907490458216,68.63013710310624,58.89512668185592,69.27001688675018,71.09819316326478,59.88680879021298,64.65015938942129,71.09819316326478,67.74174915320742,0.1082970798146439,2413.60496,2444.45232,0.09420000000000073,0.09420000000000073,0.001931100000000015,0.001931100000000015,0.001931100000000015,0.10351526105122975,0.0014495420529431475,0.3670152218946416,0.10527026132574416,0.0009175380547366039,False,False,False,turn_left,3.0,3.0,forward
0.224,0.032,31.25,67.05578931199047,72.75844863056024,71.89432167303846,65.89048608150355,61.55329742905028,67.64144326000265,67.55304238632345,64.9923054327153,68.08989644039737,72.75844863056024,67.81137861064542,0.10824606434492504,2413.69916,2444.54652,0.09420000000000073,0.09420000000000073,0.001931100000000015,0.001931100000000015,0.001931100000000015,0.10333916132574414,0.001417538054736604,0.36184410589775684,0.10511469526144665,0.000904610264744392,False,False,False,turn_left,3.0,3.0,forward
0.256,0.032,31.25,71.16212433205023,66.8273302930709,67.12673896939106,66.32599338023135,65.57367933306284,54.66788724248961,64.85075973104982,72.53495022642717,68.84379114564953,72.53495022642717,68.01786111764625,0.10809506284706427,2413.79964,2444.64072,0.10048000000006141,0.09420000000000073,0.002059840000001259,0.001931100000000015,0.0019954700000006367,0.10311922526144601,0.001404610264744392,0.3597312329547805,0.10490918945110321,0.0008993280823869511,False,True,False,turn_left,3.0,3.0,forward
0.28800000000000003,0.032,31.25,70.14256897284444,69.06712798467719,61.35353119302679,69.8331272980764,65.33383297651572,64.64161959475977,71.60147956838499,68.78820378143172,69.89984507683458,71.60147956838499,68.39425790948391,0.10782088353957418,2413.89384,2444.7412,0.09420000000000073,0.10048000000006141,0.001931100000000015,0.002059840000001259,0.0019954700000006367,0.10291371945110257,0.001399328082386951,0.3588638998363945,0.1046747234930286,0.0008971597495909863,False,True,False,turn_left,3.0,3.0,forward
0.32,0.032,31.25,63.284387955928416,63.42266960946911,74.12034531958615,68.4568694730388,66.61464121437402,70.78224464206129,68.14640803173114,63.746205481911275,64.64991776975998,68.14640803173114,67.64538988153913,0.10836775880938335,2413.98804,2444.8354,0.09420000000000073,0.09420000000000073,0.001931100000000015,0.001931100000000015,0.001931100000000015,0.10274362349302858,0.0013971597495909863,0.35850717942409743,0.10475991638199439,0.0008962679485602434,False,True,False,turn_left,3.0,3.0,forward
